movement,intervals,work,rest,Time ,Group,Type,Section
8CBB(1),10,6,3,90,,,RAMP
REST,,,30,30,,,RAMP
JSQ(2-3),10,6,3,90,,,RAMP
REST,,,30,30,,,RAMP
OGBRP(8-10)+ FLSQ(15-20),2,20,10,60,A,,SUMMIT
REST,,,30,30,,,SUMMIT
OGBRP(8-12) + FLSQ(15-20),2,20,10,60,A,,SUMMIT
REST,,,30,30,,,SUMMIT
OGBRP(8-12) + FLSQ(15-20),2,20,10,60,A,,SUMMIT
REST,,,30,30,,,SUMMIT
JSQ(2-3),10,6,3,90,,,RUNOUT
REST,,,30,30,,,RUNOUT
8CBB(1),10,6,3,90,,,RUNOUT
,,,,12,,,
