movement,intervals,work,rest,Time ,Group
8CBB(1) + JSQ(2-3),10,6,3,90,
REST,1,,30,30,
8CBB(1) + JSQ(2-3),10,6,3,90,
REST,1,,30,30,
OGBRP(8-10) ,3,20,10,90,A
REST,1,,30,30,
FLSQ(15-20),6,20,10,180,B
REST,1,,30,30,
OGBRP(8-10),3,20,10,90,A
REST,1,,30,30,
8CBB(1) + JSQ(2-3),10,6,3,90,
REST,1,,30,30,
8CBB(1) + JSQ(2-3),10,6,3,90,
,,,,15,
