movement,intervals,work,rest,Time ,Group,Type,Section
8CBB(1) + JSQ(2-3),10,6,3,90,C,,RAMP
REST,1,,30,30,,,RAMP
8CBB(1) + JSQ(2-3),10,6,3,90,D,,RAMP
REST,1,,30,30,,,RAMP
OGBRP(8-10) ,3,20,10,90,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
FLSQ(15-20),6,20,10,180,B,,SUMMIT
REST,1,,30,30,,,SUMMIT
OGBRP(8-10),3,20,10,90,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
8CBB(1) + JSQ(2-3),10,6,3,90,C,,RUNOUT
REST,1,,30,30,,,RUNOUT
8CBB(1) + JSQ(2-3),10,6,3,90,D,,RUNOUT
,,,,15,,,
