movement,intervals,work,rest,Time ,Group,Type,Section
PL > SQTH(1),20,3,3,120,,SM,RAMP
REST,1,,30,30,,,RAMP
JLNG/LNG(5),5,10,5,75,,,RAMP
REST,1,,30,30,,,RAMP
SQTH(8-10),2,20,10,60,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
FLSQ(15-20),6,20,10,180,B,,SUMMIT
REST,1,,30,30,,,SUMMIT
SQTH(8-10),2,20,10,60,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
JLNG/LNG(5),5,10,5,75,,,RUNOUT
REST,1,,30,30,,,RUNOUT
PL > SQTH(1),20,3,3,120,,SM,RUNOUT
,,,,14.5,,,
