movement,intervals,work,rest,Time ,Group,Type,Section
PL > SQTH,20,3,3,120,,SM,RAMP
REST,1,,30,30,,,RAMP
JSQ,20,6,3,180,,,RAMP
REST,1,,30,30,,,RAMP
SQTH(2),20,4,2,120,,,SUMMIT
REST,1,,30,30,,,SUMMIT
JSQ,10,6,2,80,,,SUMMIT
REST,1,,30,30,,,SUMMIT
SQTH(2),20,4,2,120,,,SUMMIT
REST,1,,30,30,,,SUMMIT
JSQ,20,6,3,180,,,RUNOUT
REST,1,,30,30,,,RUNOUT
PL > SQTH,20,3,3,120,,SM,RUNOUT
,,,,18.33333333,,,
